question,label
"Design a system for a large-scale online platform for graphic designers to collaborate and share resources.",high
"Explain how you would design a system for a real-time collaborative virtual medical training and surgical simulation.",high
"How would you architect a system for a cloud-based legal research and citation management platform?",high
"Discuss the design of a system that can provide personalized recommendations for ethical and sustainable products.",high
"How would you build a system for a large-scale online platform for documenting and sharing indigenous knowledge and traditions.",high
"Design a system for a real-time collaborative film scoring and sound design tool.",high
"Explain how you would design a system for a smart city waste and recycling collection optimization platform.",high
"How would you architect a system for a cloud-based social media management and analytics platform?",high
"Discuss the design of a system that can analyze and visualize global supply chain and logistics data.",high
"How would you build a system for a personalized online platform for learning about economics and finance.",high
"Design a system for a large-scale online platform for illustrators and cartoonists to share their work.",high
"Explain how you would design a system for a real-time collaborative virtual automotive design and engineering tool.",high
"How would you architect a system for a cloud-based non-profit program management and impact reporting platform?",high
"Discuss the design of a system that can provide personalized recommendations for local and artisanal food products.",high
"How would you build a system for a large-scale online platform for preserving and sharing personal and family archives.",high
